id,category,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
"syn-008-digest",digest,2.94120000,69.95230000,3.43810000,29.90990000,15.73590000,39.49720000,17.44590000,38.80000000,40.19600000,316.00000000,0.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000
"syn-009-meeting",meeting,3.26210000,75.26180000,3.86190000,30.65620000,15.74380000,41.09240000,18.40980000,39.35160000,42.83700000,321.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
"syn-010-complaint",complaint,3.09550000,67.48370000,3.68980000,30.25450000,16.41790000,39.99120000,16.79030000,39.25490000,40.72910000,293.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000,0.00000000
"syn-011-personal",personal,3.13740000,69.94230000,3.55390000,30.68620000,16.20180000,41.21890000,17.44640000,40.08350000,42.35680000,307.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000
"syn-012-payment",payment,3.07890000,70.76560000,3.55900000,29.65770000,15.95780000,40.80970000,17.29800000,38.41320000,43.21150000,312.00000000,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-013-receipt",receipt,3.06970000,72.07550000,3.55250000,29.29650000,15.73050000,44.00110000,17.58770000,41.62200000,46.38550000,315.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000,1.00000000
"syn-014-digest",digest,3.28630000,74.43620000,3.71070000,28.70200000,15.29590000,41.08360000,18.01910000,39.64620000,42.52420000,325.00000000,0.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000
"syn-015-meeting",meeting,3.17300000,74.07900000,4.08710000,34.00380000,18.08690000,44.64250000,18.74100000,43.24620000,46.04190000,319.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
"syn-016-complaint",complaint,3.04870000,68.71420000,3.92880000,30.21100000,16.39870000,40.10010000,16.97010000,38.11650000,42.08810000,310.00000000,1.00000000,0.00000000,0.00000000,0.00000000,3.00000000,0.00000000
"syn-017-personal",personal,2.99430000,69.91560000,3.71790000,28.70200000,15.43960000,38.77010000,17.20640000,37.65050000,39.89210000,311.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000
"syn-018-payment",payment,3.26300000,73.72390000,3.84840000,30.50900000,16.12620000,40.28160000,18.05840000,38.87910000,41.68720000,323.00000000,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-019-receipt",receipt,3.16070000,71.59100000,3.41100000,28.83180000,15.78980000,40.46860000,17.37270000,39.19560000,41.74450000,314.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000,1.00000000
"syn-020-digest",digest,3.27190000,74.09050000,4.04660000,30.81530000,16.29420000,39.20680000,18.16690000,37.13630000,41.28190000,324.00000000,0.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000
"syn-021-meeting",meeting,3.13610000,73.02140000,3.82130000,33.12090000,17.98240000,44.92630000,18.32050000,43.05710000,46.79960000,321.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-022-complaint",complaint,3.15920000,70.05260000,3.77290000,30.37160000,16.11740000,39.70960000,17.19390000,38.86590000,40.55510000,305.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000,0.00000000
"syn-023-personal",personal,3.10590000,71.99970000,3.61700000,27.60890000,14.39030000,41.04400000,17.41450000,40.58680000,41.50220000,316.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000
"syn-024-payment",payment,3.27220000,73.45450000,3.58080000,28.80410000,15.13290000,40.30360000,17.68080000,38.90550000,41.70480000,325.00000000,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-025-receipt",receipt,3.25210000,75.16910000,3.79660000,31.60360000,16.30090000,44.46860000,18.60260000,42.53410000,46.40750000,322.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000,1.00000000
"syn-026-digest",digest,2.94810000,69.39270000,3.50140000,28.58860000,15.36650000,38.74920000,16.89620000,38.42420000,39.07490000,317.00000000,0.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000
"syn-027-meeting",meeting,3.27870000,74.93320000,4.02510000,32.57280000,16.93980000,42.22990000,18.53750000,39.00000000,45.46700000,319.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
"syn-028-complaint",complaint,3.21450000,73.16380000,3.84850000,32.01130000,16.70710000,42.80640000,18.11690000,42.30770000,43.30620000,315.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
"syn-029-personal",personal,3.13740000,69.94230000,3.55390000,30.68620000,16.20180000,41.21890000,17.44640000,40.08350000,42.35680000,307.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000
"syn-030-payment",payment,2.93740000,69.89310000,3.60230000,28.71020000,15.25240000,42.23760000,17.34710000,40.91210000,43.56610000,308.00000000,3.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-031-receipt",receipt,3.09580000,73.42140000,3.25460000,29.40170000,15.72840000,41.45650000,18.06060000,40.90330000,42.01100000,316.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000,1.00000000
"syn-032-digest",digest,2.76940000,65.93870000,3.68250000,30.33710000,16.28000000,39.06050000,16.44010000,38.21980000,39.90310000,305.00000000,0.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000
"syn-033-meeting",meeting,2.99490000,69.16580000,3.91810000,31.98950000,16.92600000,38.21340000,17.25860000,37.67910000,38.74890000,317.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
"syn-034-complaint",complaint,3.01500000,69.24100000,3.91800000,33.10140000,17.43920000,44.35200000,17.56270000,43.86150000,44.84360000,302.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000,0.00000000
"syn-035-personal",personal,3.21800000,73.61000000,3.78190000,29.57060000,15.21520000,40.47850000,17.99820000,39.00000000,41.96040000,325.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000
"syn-036-payment",payment,2.64900000,64.33670000,4.11280000,33.87310000,17.61720000,44.63700000,16.67090000,43.85490000,45.42070000,297.00000000,3.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-037-receipt",receipt,3.28610000,74.60970000,3.50430000,26.71320000,14.01340000,42.74150000,18.10990000,42.67690000,42.80620000,323.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000,1.00000000
"syn-038-digest",digest,2.99510000,68.61760000,3.76760000,29.26130000,15.85620000,38.96920000,16.92740000,38.17140000,39.76870000,314.00000000,0.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000
"syn-039-meeting",meeting,3.19960000,74.31680000,3.88940000,32.05930000,16.46010000,40.47300000,18.32020000,39.23520000,41.71370000,316.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
"syn-040-complaint",complaint,3.14700000,70.15270000,3.67520000,30.32580000,15.93690000,41.99120000,17.34360000,40.85050000,43.13440000,305.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000,0.00000000
"syn-041-personal",personal,3.13740000,69.94230000,3.55390000,30.68620000,16.20180000,41.21890000,17.44640000,40.08350000,42.35680000,307.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000
"syn-042-payment",payment,3.20830000,72.87230000,3.52260000,29.80560000,15.98450000,41.01540000,17.63240000,38.38900000,43.64760000,319.00000000,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-043-receipt",receipt,3.24600000,71.01820000,3.94020000,31.55110000,16.59260000,46.63700000,17.69570000,45.73850000,47.53740000,314.00000000,1.00000000,3.00000000,0.00000000,0.00000000,0.00000000,1.00000000
"syn-044-digest",digest,2.84670000,67.78020000,3.39080000,29.57580000,15.51020000,37.45320000,16.88730000,36.98680000,37.92070000,308.00000000,0.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000
"syn-045-meeting",meeting,3.26210000,75.26180000,3.86190000,30.65620000,15.74380000,41.09240000,18.40980000,39.35160000,42.83700000,321.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
"syn-046-complaint",complaint,3.15920000,70.05260000,3.77290000,30.37160000,16.11740000,39.70960000,17.19390000,38.86590000,40.55510000,305.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000,0.00000000
"syn-047-personal",personal,3.10590000,71.99970000,3.61700000,27.60890000,14.39030000,41.04400000,17.41450000,40.58680000,41.50220000,316.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000
"syn-048-payment",payment,3.26650000,73.77040000,3.55330000,29.93090000,15.97450000,40.34980000,17.86520000,38.18900000,42.51540000,327.00000000,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-049-receipt",receipt,3.05230000,71.50160000,3.89580000,31.55410000,16.52740000,40.14300000,17.89970000,39.50550000,40.78190000,310.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-050-digest",digest,2.92610000,67.51950000,3.30800000,28.55930000,15.81360000,40.54350000,16.53120000,38.62860000,42.46260000,312.00000000,0.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000
"syn-051-meeting",meeting,3.11380000,73.46850000,3.89450000,33.84910000,18.01420000,43.79650000,18.42640000,42.83960000,44.75550000,319.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
"syn-052-complaint",complaint,3.14820000,69.43610000,3.79430000,29.85210000,15.55370000,40.56550000,17.15720000,39.49230000,41.64100000,307.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000,0.00000000
"syn-053-personal",personal,3.13740000,69.94230000,3.55390000,30.68620000,16.20180000,41.21890000,17.44640000,40.08350000,42.35680000,307.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000
"syn-054-payment",payment,2.97040000,69.34240000,3.63220000,28.36340000,15.55660000,39.51820000,16.82280000,37.72090000,41.31940000,308.00000000,3.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-055-receipt",receipt,2.96060000,68.82950000,3.72310000,31.63810000,16.79690000,48.90540000,17.40940000,47.88350000,49.92950000,296.00000000,1.00000000,3.00000000,0.00000000,0.00000000,0.00000000,1.00000000
"syn-056-digest",digest,3.28300000,75.23000000,3.93320000,29.59080000,15.31170000,38.74480000,18.49610000,38.18460000,39.30620000,325.00000000,0.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000
"syn-057-meeting",meeting,3.29730000,73.69350000,4.04400000,30.43320000,16.20100000,39.41360000,17.94660000,38.59120000,40.23790000,321.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
"syn-058-complaint",complaint,3.23250000,73.84000000,3.85520000,30.04580000,15.91770000,39.70190000,18.22140000,38.51650000,40.88990000,316.00000000,1.00000000,0.00000000,0.00000000,0.00000000,3.00000000,0.00000000
"syn-059-personal",personal,2.99810000,69.84790000,3.97830000,41.63890000,15.20770000,55.15620000,17.94420000,54.49010000,55.82380000,312.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000
"syn-060-payment",payment,3.27980000,73.78440000,3.75630000,30.30710000,16.03590000,41.19580000,18.03720000,38.78240000,43.61450000,327.00000000,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-061-receipt",receipt,3.22180000,74.87350000,3.78830000,31.17940000,16.18470000,39.77340000,18.49190000,39.25490000,40.29300000,320.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000,1.00000000
"syn-062-digest",digest,2.95020000,68.87450000,3.34360000,29.56010000,15.84790000,38.76460000,16.82050000,38.51210000,39.01760000,314.00000000,0.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000
"syn-063-meeting",meeting,3.20850000,73.28140000,3.74360000,29.95500000,16.07980000,38.06600000,17.81860000,36.88570000,39.24890000,321.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-064-complaint",complaint,3.08890000,69.44890000,3.97180000,32.91970000,17.12290000,41.72940000,17.46570000,42.45710000,41.00000000,302.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000,0.00000000
"syn-065-personal",personal,2.78830000,65.97770000,3.77850000,30.34380000,16.55330000,42.05390000,16.52240000,40.75820000,43.35240000,297.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000
"syn-066-payment",payment,3.27500000,73.90340000,3.91120000,29.50150000,15.52990000,39.71840000,17.86760000,38.24620000,41.19380000,325.00000000,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-067-receipt",receipt,2.93350000,67.77490000,3.74890000,30.29200000,16.34140000,42.31790000,16.76310000,41.10990000,43.52860000,305.00000000,1.00000000,3.00000000,0.00000000,0.00000000,0.00000000,1.00000000
"syn-068-digest",digest,2.83650000,67.08520000,3.76780000,32.55180000,17.39410000,43.79320000,17.12720000,42.23300000,45.35680000,305.00000000,0.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000
"syn-069-meeting",meeting,2.99490000,69.16580000,3.91810000,31.98950000,16.92600000,38.21340000,17.25860000,37.67910000,38.74890000,317.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
"syn-070-complaint",complaint,3.24510000,73.97900000,3.52610000,31.10960000,16.30170000,42.18920000,18.06510000,39.96920000,44.41410000,325.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
"syn-071-personal",personal,2.99430000,69.91560000,3.71790000,28.70200000,15.43960000,38.77010000,17.20640000,37.65050000,39.89210000,311.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000
"syn-072-payment",payment,3.26300000,73.72390000,3.84840000,30.50900000,16.12620000,40.28160000,18.05840000,38.87910000,41.68720000,323.00000000,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-073-receipt",receipt,3.04210000,71.02940000,3.57430000,30.17720000,15.70710000,40.41580000,17.47000000,39.13410000,41.70040000,308.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000,1.00000000
"syn-074-digest",digest,2.97590000,69.57460000,3.81170000,30.35360000,15.90350000,40.01540000,17.34590000,39.35820000,40.67400000,311.00000000,0.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000
"syn-075-meeting",meeting,3.19960000,74.31680000,3.88940000,32.05930000,16.46010000,40.47300000,18.32020000,39.23520000,41.71370000,316.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
"syn-076-complaint",complaint,3.02940000,70.54150000,3.86600000,30.46400000,15.87710000,37.90430000,17.48480000,36.67690000,39.13440000,304.00000000,1.00000000,0.00000000,0.00000000,0.00000000,3.00000000,0.00000000
"syn-077-personal",personal,3.00360000,70.14450000,3.73480000,30.49320000,16.24360000,41.54020000,17.29680000,40.22640000,42.85680000,315.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000
"syn-078-payment",payment,2.93740000,69.89310000,3.60230000,28.71020000,15.25240000,42.23760000,17.34710000,40.91210000,43.56610000,308.00000000,3.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-079-receipt",receipt,3.23050000,74.25850000,3.77880000,31.71920000,16.77100000,39.32450000,18.06410000,38.77580000,39.87440000,321.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000,1.00000000
"syn-080-digest",digest,2.73110000,65.38660000,3.79460000,30.73800000,16.02010000,38.11660000,16.51190000,37.45270000,38.78190000,298.00000000,0.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000
"syn-081-meeting",meeting,3.27870000,74.93320000,4.02510000,32.57280000,16.93980000,42.22990000,18.53750000,39.00000000,45.46700000,319.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
"syn-082-complaint",complaint,3.05490000,70.76260000,3.57150000,29.93470000,16.34810000,40.62930000,17.36360000,38.94730000,42.31500000,307.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000,0.00000000
"syn-083-personal",personal,2.57440000,61.53720000,3.36950000,27.65840000,14.32800000,42.80530000,15.38760000,41.98900000,43.62330000,295.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000
"syn-084-payment",payment,2.97010000,68.20450000,3.51550000,30.05560000,16.23650000,40.58640000,16.76320000,39.94730000,41.22690000,304.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-085-receipt",receipt,3.13190000,72.51550000,4.01000000,32.11340000,17.22820000,48.13750000,18.04000000,46.78900000,49.48900000,320.00000000,1.00000000,3.00000000,0.00000000,0.00000000,0.00000000,1.00000000
"syn-086-digest",digest,2.89610000,66.98060000,3.42910000,28.71470000,15.80650000,39.32780000,16.37150000,39.01760000,39.63880000,307.00000000,0.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000
"syn-087-meeting",meeting,3.17300000,74.07900000,4.08710000,34.00380000,18.08690000,44.64250000,18.74100000,43.24620000,46.04190000,319.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
"syn-088-complaint",complaint,2.99760000,67.57010000,3.95950000,32.84530000,17.28460000,41.47190000,17.27340000,41.79340000,41.14980000,293.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000,0.00000000
"syn-089-personal",personal,2.99430000,69.91560000,3.71790000,28.70200000,15.43960000,38.77010000,17.20640000,37.65050000,39.89210000,311.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000
"syn-090-payment",payment,2.99020000,69.69760000,3.64790000,28.77400000,15.55790000,39.43560000,16.93700000,37.89230000,40.98240000,309.00000000,3.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-091-receipt",receipt,3.00650000,70.29950000,4.29960000,34.51800000,18.00540000,50.00110000,18.08350000,48.73630000,51.26870000,302.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"syn-092-digest",digest,2.92050000,68.60470000,3.46320000,28.97750000,15.28920000,39.18480000,17.07980000,38.26590000,40.10570000,310.00000000,0.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000
"syn-093-meeting",meeting,3.26210000,75.26180000,3.86190000,30.65620000,15.74380000,41.09240000,18.40980000,39.35160000,42.83700000,321.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
"syn-094-complaint",complaint,3.04210000,67.47820000,3.68040000,30.35290000,16.53360000,40.09130000,16.79980000,39.69230000,40.49120000,305.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000,0.00000000
"syn-095-personal",personal,2.80470000,66.54790000,3.68290000,30.41220000,16.50100000,39.53030000,16.63990000,39.20880000,39.85240000,312.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000
